request_id,case_id,item,status,last_requested_at,channel,contact_address,followup_allowed,received_at
R001,C001,fault_photo,pending,2026-08-24T10:00+05:30,email,case-001@example.invalid,1,2026-08-24T16:00+05:30
R002,C002,fault_photo,received,2026-08-24T12:00+05:30,email,case-002@example.invalid,1,2026-08-24T18:00+05:30
R003,C003,fault_photo,received,2026-08-25T10:00+05:30,email,case-003@example.invalid,1,2026-08-25T16:00+05:30
R004,C004,fault_photo,received,2026-08-25T12:00+05:30,email,case-004@example.invalid,1,2026-08-25T18:00+05:30
R005,C005,fault_photo,pending,2026-08-26T10:00+05:30,email,case-005@example.invalid,1,
R006,C006,fault_photo,received,2026-08-26T12:00+05:30,email,case-006@example.invalid,1,2026-08-26T18:00+05:30
R007,C007,fault_photo,received,2026-08-27T10:00+05:30,email,case-007@example.invalid,1,2026-08-27T16:00+05:30
R008,C008,fault_photo,received,2026-08-27T12:00+05:30,email,case-008@example.invalid,1,2026-08-27T18:00+05:30
R009,C009,fault_photo,pending,2026-09-02T12:00+05:30,email,case-009@example.invalid,1,
R010,C010,fault_photo,received,2026-08-28T12:00+05:30,email,case-010@example.invalid,1,2026-08-28T18:00+05:30
R011,C011,fault_photo,received,2026-08-29T10:00+05:30,email,case-011@example.invalid,1,2026-08-29T16:00+05:30
R012,C012,fault_photo,pending,2026-09-03T10:00+05:30,email,case-012@example.invalid,0,
R013,C013,fault_photo,pending,2026-08-30T10:00+05:30,email,case-013@example.invalid,1,
R014,C014,fault_photo,received,2026-08-30T12:00+05:30,email,case-014@example.invalid,1,2026-08-30T18:00+05:30
R015,C015,fault_photo,received,2026-08-31T10:00+05:30,email,case-015@example.invalid,1,2026-08-31T16:00+05:30
R016,C016,fault_photo,pending,2026-09-05T11:00+05:30,email,case-016@example.invalid,1,
R017,C017,fault_photo,received,2026-09-01T10:00+05:30,email,case-017@example.invalid,1,2026-09-01T16:00+05:30
R018,C018,fault_photo,pending,2026-09-02T12:00+05:30,email,case-018@example.invalid,1,2026-09-03T14:00+05:30
R019,C019,fault_photo,pending,2026-09-02T10:00+05:30,email,case-019@example.invalid,1,
R020,C020,fault_photo,received,2026-09-02T12:00+05:30,email,case-020@example.invalid,1,2026-09-02T18:00+05:30
R021,C021,fault_photo,received,2026-09-03T10:00+05:30,email,case-021@example.invalid,1,2026-09-03T16:00+05:30
R022,C022,fault_photo,pending,,email,case-022@example.invalid,1,
R023,C023,fault_photo,received,2026-09-04T10:00+05:30,email,case-023@example.invalid,1,2026-09-04T16:00+05:30
R024,C024,fault_photo,pending,2026-09-04T12:00+05:30,email,case-024@example.invalid,1,
R025,C009,site_access,pending,2026-09-02T12:00+05:30,email,case-009@example.invalid,1,
R026,C024,serial_number,pending,2026-09-04T12:00+05:30,email,case-024@example.invalid,1,
R027,C017,quote_approval,pending,2026-09-02T11:00+05:30,email,case-017@example.invalid,1,
R028,C021,quote_approval,pending,2026-09-04T11:00+05:30,email,case-021@example.invalid,0,
R029,C023,quote_approval,pending,2026-09-05T11:00+05:30,email,case-023@example.invalid,1,
R030,C016,site_access,received,2026-09-01T12:00+05:30,email,case-016@example.invalid,1,2026-09-02T14:00+05:30
