request_id,case_id,item,request_status,case_status,last_requested_at,received_at,followup_allowed,hours_since_last_request,decision,reason,contact_address
R001,C001,fault_photo,pending,completed,2026-08-24T10:00+05:30,2026-08-24T16:00+05:30,1,,excluded,case_closed_or_scheduled,case-001@example.invalid
R002,C002,fault_photo,received,completed,2026-08-24T12:00+05:30,2026-08-24T18:00+05:30,1,,excluded,request_not_pending,case-002@example.invalid
R003,C003,fault_photo,received,completed,2026-08-25T10:00+05:30,2026-08-25T16:00+05:30,1,,excluded,request_not_pending,case-003@example.invalid
R004,C004,fault_photo,received,completed,2026-08-25T12:00+05:30,2026-08-25T18:00+05:30,1,,excluded,request_not_pending,case-004@example.invalid
R005,C005,fault_photo,pending,cancelled,2026-08-26T10:00+05:30,,1,,excluded,case_closed_or_scheduled,case-005@example.invalid
R006,C006,fault_photo,received,completed,2026-08-26T12:00+05:30,2026-08-26T18:00+05:30,1,,excluded,request_not_pending,case-006@example.invalid
R007,C007,fault_photo,received,completed,2026-08-27T10:00+05:30,2026-08-27T16:00+05:30,1,,excluded,request_not_pending,case-007@example.invalid
R008,C008,fault_photo,received,scheduled,2026-08-27T12:00+05:30,2026-08-27T18:00+05:30,1,,excluded,request_not_pending,case-008@example.invalid
R009,C009,fault_photo,pending,waiting_info,2026-09-02T12:00+05:30,,1,117.0,propose,eligible_after_checks,case-009@example.invalid
R010,C010,fault_photo,received,completed,2026-08-28T12:00+05:30,2026-08-28T18:00+05:30,1,,excluded,request_not_pending,case-010@example.invalid
R011,C011,fault_photo,received,scheduled,2026-08-29T10:00+05:30,2026-08-29T16:00+05:30,1,,excluded,request_not_pending,case-011@example.invalid
R012,C012,fault_photo,pending,waiting_info,2026-09-03T10:00+05:30,,0,,excluded,followup_not_allowed,case-012@example.invalid
R013,C013,fault_photo,pending,cancelled,2026-08-30T10:00+05:30,,1,,excluded,case_closed_or_scheduled,case-013@example.invalid
R014,C014,fault_photo,received,completed,2026-08-30T12:00+05:30,2026-08-30T18:00+05:30,1,,excluded,request_not_pending,case-014@example.invalid
R015,C015,fault_photo,received,scheduled,2026-08-31T10:00+05:30,2026-08-31T16:00+05:30,1,,excluded,request_not_pending,case-015@example.invalid
R016,C016,fault_photo,pending,waiting_info,2026-09-05T11:00+05:30,,1,46.0,uncertain,under_48h_since_request,case-016@example.invalid
R017,C017,fault_photo,received,quote_sent,2026-09-01T10:00+05:30,2026-09-01T16:00+05:30,1,,excluded,request_not_pending,case-017@example.invalid
R018,C018,fault_photo,pending,waiting_info,2026-09-02T12:00+05:30,2026-09-03T14:00+05:30,1,117.0,excluded,received_at_present,case-018@example.invalid
R019,C019,fault_photo,pending,cancelled,2026-09-02T10:00+05:30,,1,,excluded,case_closed_or_scheduled,case-019@example.invalid
R020,C020,fault_photo,received,scheduled,2026-09-02T12:00+05:30,2026-09-02T18:00+05:30,1,,excluded,request_not_pending,case-020@example.invalid
R021,C021,fault_photo,received,quote_sent,2026-09-03T10:00+05:30,2026-09-03T16:00+05:30,1,,excluded,request_not_pending,case-021@example.invalid
R022,C022,fault_photo,pending,waiting_info,,,1,,uncertain,missing_last_requested_at,case-022@example.invalid
R023,C023,fault_photo,received,quote_sent,2026-09-04T10:00+05:30,2026-09-04T16:00+05:30,1,,excluded,request_not_pending,case-023@example.invalid
R024,C024,fault_photo,pending,waiting_info,2026-09-05T10:00+05:30,,1,47.0,uncertain,under_48h_since_request,case-024@example.invalid
R025,C009,site_access,pending,waiting_info,2026-09-02T12:00+05:30,,1,117.0,propose,eligible_after_checks,case-009@example.invalid
R026,C024,serial_number,pending,waiting_info,2026-09-05T10:00+05:30,,1,47.0,uncertain,under_48h_since_request,case-024@example.invalid
R030,C016,site_access,received,waiting_info,2026-09-01T12:00+05:30,2026-09-02T14:00+05:30,1,,excluded,request_not_pending,case-016@example.invalid
